id,num_drivers,created_at,updated_at,driver_eta
10408,2,2017-11-01 06:34:17.152705,2017-11-01 06:34:17.152705,3
10419,0,2017-11-01 07:02:16.519159,2017-11-01 07:02:16.519159,1000
10420,1,2017-11-01 07:10:16.318964,2017-11-01 07:10:16.318964,4
10431,1,2017-11-01 07:28:56.404419,2017-11-01 07:28:56.404419,3
10433,1,2017-11-01 07:30:16.45602,2017-11-01 07:30:16.45602,3
10435,1,2017-11-01 07:31:36.343403,2017-11-01 07:31:36.343403,5
10438,1,2017-11-01 07:32:56.252211,2017-11-01 07:32:56.252211,8
10441,1,2017-11-01 12:08:36.540279,2017-11-01 12:08:36.540279,6
10445,1,2017-11-01 12:16:16.25497,2017-11-01 12:16:16.25497,1
10446,1,2017-11-01 12:17:36.489651,2017-11-01 12:17:36.489651,2
10450,2,2017-11-01 12:24:16.221717,2017-11-01 12:24:16.221717,3
10452,1,2017-11-01 12:25:36.513656,2017-11-01 12:25:36.513656,4
10399,1,2017-11-01 06:26:56.301248,2017-11-01 06:26:56.301248,0
10401,2,2017-11-01 06:28:16.458917,2017-11-01 06:28:16.458917,1
10403,2,2017-11-01 06:29:36.380895,2017-11-01 06:29:36.380895,3
10409,2,2017-11-01 06:34:56.298003,2017-11-01 06:34:56.298003,4
10411,2,2017-11-01 06:37:36.350421,2017-11-01 06:37:36.350421,2
10415,2,2017-11-01 06:41:36.341118,2017-11-01 06:41:36.341118,2
10417,0,2017-11-01 06:42:56.598932,2017-11-01 06:42:56.598932,1000
10421,1,2017-11-01 07:10:56.289446,2017-11-01 07:10:56.289446,5
10422,1,2017-11-01 07:14:56.27042,2017-11-01 07:14:56.27042,4
10423,1,2017-11-01 07:16:16.405001,2017-11-01 07:16:16.405001,3
10434,1,2017-11-01 07:30:56.367373,2017-11-01 07:30:56.367373,4
10439,0,2017-11-01 07:33:36.318902,2017-11-01 07:33:36.318902,1000
10443,1,2017-11-01 12:10:16.638954,2017-11-01 12:10:16.638954,4
10448,1,2017-11-01 12:20:56.352122,2017-11-01 12:20:56.352122,2
10453,1,2017-11-01 12:33:27.811021,2017-11-01 12:33:27.811021,3
10454,1,2017-11-01 12:34:27.607212,2017-11-01 12:34:27.607212,2
10455,1,2017-11-01 12:38:07.760568,2017-11-01 12:38:07.760568,5
10456,0,2017-11-01 12:38:47.718562,2017-11-01 12:38:47.718562,1000
10457,1,2017-11-01 12:42:27.768294,2017-11-01 12:42:27.768294,3
10458,1,2017-11-01 12:43:07.773284,2017-11-01 12:43:07.773284,2
10459,1,2017-11-01 12:43:47.720184,2017-11-01 12:43:47.720184,1
